15
12 Armstrong PG 18.5 7.8 9.9 3.4 2.7
15 Devens PG 17.5 7.8 9.9 3.4 2.7
13 Harden SG 35.6 7.6 24.3 10.5 4.5
34 O'Neal C 28.5 1.5 17.3 12.6 1.8
9 Caruso PG 8.5 3.4 5.4 0.8 0.5
77 Doncic SG 35.6 7.6 22.3 10.5 4.5
78 Valanciunas C 15.6 0.9 10.5 10.5 3.6
23 James SF 28.5 10.1 19.4 7.3 2.4
35 Durant PF 31.4 3.4 19.6 9.3 2.3
36 O'Neal2 C 28.5 2.0 17.3 12.6 1.8
24 James2 SF 28.5 10.1 19.4 10.3 2.4
37 Durant2 PF 31.4 3.4 19.6 9.3 1.3
57 ABCD PF 1.0 1.0 1.0 1.0 1.0
59 ABCDE SF 1.0 1.0 1.0 1.0 1.0
63 ABCDEF SG 1.0 1.0 1.0 1.0 1.0
